Course Code,Title,Credits,Attributes,Description,Typically Offered,Sections
BUKD-C 530,ECONOMICS FOR MANAGERS,3 credits,Executive Degree Program Bloomington (39),"Economics decision-making, consumer behavior, and pricing strategy.","Summer, Fall","Class #: Open | Regular Academic Session
8/18/2025–11/6/2025 |  | Steven Kreft | 8/60
Waitlist 0
Class #: Closed | Th
Thursday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Michael Rauh | 0/0
Waitlist 0"
BUKD-C 540,FINANCIAL MANAGEMENT,3 credits,Class uses IU eTexts (436); Executive Degree Program Bloomington (39),Tools and analytical conventions used in corporate finance; financial theory used in application of analytical reasoning to business problems.,"Spring, Summer, Fall","Class #: Closed | Tu
Tuesday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Randall Heron | 0/0
Waitlist 0
Class #: Closed | Tu
Tuesday
6:00 PM–7:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Randall Heron | 0/0
Waitlist 0
Class #: Closed | W
Wednesday
6:00 PM–7:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Russell Rhoads | 0/0
Waitlist 0"
BUKD-C 560,STRATEGIC MANAGEMENT AND BUSINESS PLANNING,1–6 credits,Executive Degree Program Bloomington (39),Students will work in project teams to address planning and implementation issues related to project management and new business development. Readings and other materials will be assigned by instructor.,"Spring, Fall","Class #: Closed | Tu
Tuesday
9:00 PM–10:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | James Davis | 0/4
Waitlist 0"
BUKD-C 562,DEVELOPING STATEGIC CAPABILITIES,3 credits,Class uses IU eTexts (436); Executive Degree Program Bloomington (39),"Skills needed to read environmental change, evaluate a firm's know-how, anticipate rival's moves, and develop strategies to use all of these to a firm's advantage.","Spring, Summer, Fall","Class #: Closed | Tu
Tuesday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Philip Cochran | 0/10
Waitlist 0"
BUKD-C 589,OTHER UNIVERSITY DUAL DEGREE PROGRAM HOURS,1–6 credits,Executive Degree Program Bloomington (39),A variable units / variable topic course to be created at request of the IU Kelley School of Business.  The Topic will be filled with the name of the specific program.,"Spring, Summer, Fall","Class #: Closed | Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Amanda Thacker | 0/0
Waitlist 0
Class #: Closed | Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Amanda Thacker | 0/0
Waitlist 0"
BUKD-F 596,FINANCIAL MANAGEMENT,2 credits,Class uses IU eTexts (436); Kelley Direct Program Bloomington (38),The course provides a working knowledge of the tools and analytical conventions used in the practice of corporate finance.  The emphasis is on establishing an understanding of the basic elements of financial theory to be used in the application of analytical reasoning to business finance problems.,"Summer, Fall","Class #: Closed | W
Wednesday
6:00 PM–7:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Matthew Billett | 0/0
Waitlist 0
Class #: Closed | W
Wednesday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Matthew Billett | 0/0
Waitlist 0
Class #: Closed | W
Wednesday
9:00 PM–10:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Matthew Billett | 0/0
Waitlist 0
Class #: Closed | W
Wednesday
6:00 PM–7:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Randall Heron | 0/0
Waitlist 0
Class #: Closed | W
Wednesday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Randall Heron | 0/0
Waitlist 0
Class #: Closed | W
Wednesday
9:00 PM–10:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Tod Perry | 0/0
Waitlist 0
Class #: Closed | W
Wednesday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Tod Perry | 0/0
Waitlist 0"
BUKD-F 750,FINANCIAL STRATEGY AND CORPORATE RESTRUCTURING,3 credits,Class uses IU eTexts (436); Executive Degree Program Bloomington (39),"This course examines how corporate and financial strategies can lead to creation, maintenance, transfer, and destruction of shareholder value. Topics include valuing alternative strategies, effectively communicating strategies to financial markets, and aligning incentives of managers with shareholders. A framework for valuing mergers, acquisitions, and divestitures and other joint financing arrangements is developed and applied.",Fall,"Class #: Open | Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Tod Perry, Jared Wilson | 7/40
Waitlist 0"
BUKD-F 755,FIXED-INCOME AND EQUITY ASSET VALUATION,3 credits,Class uses IU eTexts (436); Kelley Direct Program Bloomington (38),"The course introduces the tools of fixed-income and equity asset valuation.  The format includes discussion forums, notes, CFA Institute Investment Series textbooks for both fixed-income and equity assets, example problems, assigned projects and exams.","Summer, Fall","Class #: Open | Tu
Tuesday
6:00 PM–7:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Russell Rhoads | 19/45
Waitlist 0"
BUKD-G 528,PREDICTIVE ANALYTICS AND BUSINESS STRATEGY,3 credits,Executive Degree Program Bloomington (39),"The focus of this course will be on a subdivision of predictive analytics, called active prediction. Active prediction requires the use of causal inference, and some advanced causal inference tools are taught in this course. Students will develop communication skills regarding quantitative outputs.",Spring,"Class #: Open | Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Ramses Armendariz Buaun | 14/40
Waitlist 0"
BUKD-G 561,MACROECONOMIC STRATEGIES FOR GLOBAL BUSINESS,3 credits,Class uses IU eTexts (436); Executive Degree Program Bloomington (39),"Will develop skills to interpret the economic environment in which companies operate and identify the appropriate business response to macro shocks. We will analyze fiscal policy, monetary policy, economic growth, international trade and more to understand how they impact businesses. The course is not technical and focuses on applying theory.","Spring, Summer, Fall","Class #: Closed | M
Monday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Andreas Hauskrecht | 0/0
Waitlist 0"
BUKD-G 565,GAME THEORY AND STRATEGIC DECISION MAKING,3 credits,Executive Degree Program Bloomington (39); Kelley Direct Program Bloomington (38),"G565 delves deeper into the analysis of game theory and business strategy. The course is to strengthen your ability to think strategically in business situations, rather than to teach you facts or theories. We will iterate between theory and practice, utilizing interactive games, formal case studies, and real world examples.","Summer, Fall","Class #: Open | Tu
Tuesday
6:00 PM–7:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Kerem Cakirer | 7/45
Waitlist 0
Class #: Open | Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Kerem Cakirer | 22/62
Waitlist 0
Class #: Closed | Tu
Tuesday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Kerem Cakirer | 0/0
Waitlist 0"
BUKD-G 596,ECONOMICS FOR MANAGERS,2 credits,Kelley Direct Program Bloomington (38),"Managerial economics focuses on strategic decision making. For example, pricing strategy is based on the fundamental of price elasticity that is a cornerstone of the economic way of thinking, showing the optimal price will not only depend on price elasticity, but also cost considerations and the predicted reactions of competitors.","Summer, Fall","Class #: Closed | W
Wednesday
6:00 PM–7:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Steven Kreft, Ellie Mafi-Kreft | 0/0
Waitlist 0
Class #: Closed | W
Wednesday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Steven Kreft, Ellie Mafi-Kreft | 0/0
Waitlist 0
Class #: Closed | W
Wednesday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Jennifer Rice | 0/0
Waitlist 0
Class #: Closed | M
Monday
9:00 PM–10:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Jennifer Rice | 0/0
Waitlist 0
Class #: Closed | W
Wednesday
9:00 PM–10:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Steven Kreft, Ellie Mafi-Kreft | 0/0
Waitlist 0
Class #: Closed | W
Wednesday
6:00 PM–7:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Jennifer Rice | 0/0
Waitlist 0
Class #: Closed | M
Monday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Jennifer Rice | 0/0
Waitlist 0"
BUKD-J 541,CONSULTING PROCESS AND MANAGEMENT,3 credits,Class uses IU eTexts (436); Kelley Direct Program Bloomington (38),This intensive course develops the skills necessary for successful consulting engagements.  It is useful for both individuals plan to work in an interanl or external consulting role or who may expect to manage consultant engagements from the client side.,Fall,"Class #: Closed | W
Wednesday
6:00 PM–7:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Michael DeShano | 0/45
Waitlist 13"
BUKD-J 596,STRATEGIC MANAGEMENT,2 credits,Kelley Direct Program Bloomington (38),"In J596, we will explore nine major units that comprise the essentials of Strategic Management: What is Strategy?; External Analysis (2); Internal Analysis (2); Business Strategy; Corporate Strategy; Competitive Advantage; Implementation","Summer, Fall","Class #: Closed | M
Monday
6:00 PM–7:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Will Geoghegan | 0/0
Waitlist 0
Class #: Closed | M
Monday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Will Geoghegan | 0/0
Waitlist 0
Class #: Closed | M
Monday
9:00 PM–10:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Will Geoghegan | 0/0
Waitlist 0
Class #: Closed | Tu
Tuesday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Will Geoghegan | 0/0
Waitlist 0
Class #: Closed | Tu
Tuesday
6:00 PM–7:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Will Geoghegan | 0/0
Waitlist 0
Class #: Closed | Tu
Tuesday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Jose Uribe | 0/0
Waitlist 0
Class #: Closed | Tu
Tuesday
9:00 PM–10:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Jose Uribe | 0/0
Waitlist 0"
BUKD-K 520,QUANTITATIVE ANALYSIS,3 credits,,"This course focuses on developing and building mathematical models that lead to good business solutions. Students will use probability, regression, optimization and simulation models to solve problems for a variety of business disciplines. The primary tool for constructing the models will be Excel, although the modeling skill is general.","Summer, Fall","Class #: Open | MW
Monday, Wednesday
6:00 PM–7:30 PM
Non Standard Session
8/25/2025–11/21/2025 | WB WEB | Aaron Perry | 2/30
Waitlist 0"
BUKD-K 531,PREDICTIVE ANALYTICS AND DATA MINING,3 credits,Executive Degree Program Bloomington (39),"This course on data mining focuses on the entire lifecycle of the predictive analytics process: 1) business understanding; 2) data understanding and preparation; 3) modeling; 4) evaluation; and 5) deployment. It focuses on data mining techniques for classification, numeric prediction, and association analysis.","Spring, Summer, Fall","Class #: Closed | M
Monday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Jay Newquist | 0/0
Waitlist 0"
BUKD-K 533,ENTERPRISE DATA MANAGEMENT,3 credits,Kelley Direct Program Bloomington (38),"This course covers concepts, processes, practices, tools used in the data life cycle. It teaches data model design, SQL, data quality control, data integration, data warehouse design, data visualization, data governance. Software: diagram tools (draw.io, etc.), MS SQL Server, SQL Management Studio, Talend for Data Quality, Alteryx, Tableau, etc.","Spring, Fall","Class #: Open | Th
Thursday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Jie Li | 8/35
Waitlist 0"
BUKD-L 549,CRITICAL THINKING AND DECISION MAKING FOR EFFECTIVE LEADERSHIP,3 credits,Kelley Direct Program Bloomington (38),"The course is designed to improve students' decision-making processes and thereby make them more effective leaders by providing them with a general framework for thinking critically, expanding on key aspects of that framework, and making students aware of systematic thinking shortcomings and providing them with knowledge / tools to counteract them.","Spring, Fall","Class #: Open | Tu
Tuesday
6:00 PM–7:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Stephanie Moore | 6/35
Waitlist 0
Class #: Open | Tu
Tuesday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Stephanie Moore | 5/35
Waitlist 0"
BUKD-L 553,WHITE COLLAR CRIME & CORPORATE ETHICS,3 credits,Class uses IU eTexts (436); Kelley Direct Program Bloomington (38),"This course will introduce you to white-collar criminal law, corporate compliance, and individual and organizational business ethics in order to provide you with basic knowledge of the theoretical and practical underpinnings of business ethics and criminal law as it applies to individuals and organizations operating in the corporate realm.","Summer, Fall","Class #: Open | Th
Thursday
9:00 PM–10:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Timothy Fort | 15/45
Waitlist 0"
BUKD-L 578,CYBERSECURITY LAW & POLICY,3 credits,Kelley Direct Program Bloomington (38),"The primary aim of the course is to provide students with a basic working knowledge of cybersecurity law and policy, focusing on the United States but put in a global perspective.",Fall,"Class #: Open | M
Monday
6:00 PM–7:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Scott Shackelford | 4/30
Waitlist 0"
BUKD-L 596,BUSINESS LAW AND ETHICS,2 credits,Class uses IU eTexts (436); Kelley Direct Program Bloomington (38),"Focus on a major constraint on business decision making in the international environment: law. Greater awareness of legal issues in the international business environment, an understanding of international dispute resolution, and a general familiarity with the international legal system will help students anticipate and manage legal problems more effectively.","Summer, Fall","Class #: Closed | M
Monday
6:00 PM–7:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Kelly Eskew | 0/0
Waitlist 0
Class #: Closed | M
Monday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Kelly Eskew | 0/0
Waitlist 0
Class #: Closed | M
Monday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | April Sellers | 0/0
Waitlist 0
Class #: Closed | W
Wednesday
9:00 PM–10:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Martin McCrory | 0/0
Waitlist 0
Class #: Closed | M
Monday
9:00 PM–10:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Josh Perry | 0/0
Waitlist 0
Class #: Closed | M
Monday
6:00 PM–7:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | April Sellers | 0/0
Waitlist 0
Class #: Closed | W
Wednesday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Martin McCrory | 0/0
Waitlist 0"
BUKD-M 501,CREATING WINNING DIGITAL MARKETING STRATEGIES,3 credits,Kelley Direct Program Bloomington (38),"This course will develop your digital marketing skills needed to drive profitable growth and help you standout.  You will learn how to effectively use email, search engines, social media, and digital advertising among other tools.  The course is equally applicable to B2C companies.","Spring, Summer, Fall","Class #: Open | M
Monday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Brian Vander Schee | 14/45
Waitlist 0"
BUKD-M 575,BUSINESS MARKETING STRATEGY,3 credits,Kelley Direct Program Bloomington (38),"This course will help you create winning marketing strategies in a B2B context.  You will learn practical frameworks related to value chain analysis, partnership management, organizational buyer behavior, segmentation and positioning, distribution channel design, product planning, value-based pricing, negotiation strategies, and integrated marketing communication planning.",Fall,"Class #: Open | W
Wednesday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Joshua Gildea | 11/45
Waitlist 0"
BUKD-M 596,INTEGRATED MARKETING STRATEGY,2 credits,Kelley Direct Program Bloomington (38),"You will learn how to create complete marketing strategies for individual products and product lines.  You will learn how to drive lifetime customer value by anticipating changes in customer needs, creating multi-segment product/service offerings, creating new brands and leveraging existing ones, and creating multi-channel platforms.","Summer, Fall","Class #: Closed | Tu
Tuesday
6:00 PM–7:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Girish Mallapragada | 0/0
Waitlist 0
Class #: Closed | Tu
Tuesday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Girish Mallapragada | 0/0
Waitlist 0
Class #: Closed | Tu
Tuesday
9:00 PM–10:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Girish Mallapragada | 0/0
Waitlist 0
Class #: Closed | Tu
Tuesday
6:00 PM–7:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Joshua Gildea | 0/0
Waitlist 0
Class #: Closed | Tu
Tuesday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Joshua Gildea | 0/0
Waitlist 0
Class #: Closed | Tu
Tuesday
9:00 PM–10:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Chad McBride | 0/0
Waitlist 0
Class #: Closed | Tu
Tuesday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Chad McBride | 0/0
Waitlist 0"
BUKD-P 525,PROJECT MANAGEMENT,3 credits,Kelley Direct Program Bloomington (38),"This course is an introduction to project management. The course covers both predictive (traditional) and adaptive (agile) methodologies and when to use each. The course explores common reasons for project failure with a focus on the project triangle. Students will learn about charters, scheduling, scrums, and available certifications.",Fall,"Class #: Closed | M
Monday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Rex Cutshall | 0/45
Waitlist 2"
BUKD-P 596,OPERATIONS AND SUPPLY CHAIN MANAGEMENT,2 credits,Class uses IU eTexts (436); Kelley Direct Program Bloomington (38),"This introduction to Operations Management includes topics and tools along with an introduction to Supply Chain Management and an injection of advanced, forward-facing content that we hope can be readily adapted and applied by every student. This course will use a variety of teaching approaches.","Summer, Fall","Class #: Closed | Th
Thursday
6:00 PM–7:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Amrou Awaysheh | 0/0
Waitlist 0
Class #: Closed | Th
Thursday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Amrou Awaysheh | 0/0
Waitlist 0
Class #: Closed | Th
Thursday
9:00 PM–10:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Amrou Awaysheh | 0/0
Waitlist 0
Class #: Closed | Th
Thursday
6:00 PM–7:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Kent Rerko | 0/0
Waitlist 0
Class #: Closed | Th
Thursday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Kent Rerko | 0/0
Waitlist 0
Class #: Closed | Th
Thursday
9:00 PM–10:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Kent Rerko | 0/0
Waitlist 0
Class #: Closed | Th
Thursday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Kyle Cattani | 0/0
Waitlist 0"
BUKD-S 596,DIGITAL TECHNOLOGY & INNOVATION,2 credits,Kelley Direct Program Bloomington (38),"This introduction to IT addresses skill and talent management; costs, budgets, value, and chargeback systems; priority setting and financial justification of investments; project management and runaway projects; in/outsourcing; security risks and crises; emerging technology approaches; communications with other senior executives; vendor management; infrastructure standardization; support for innovation; and risk management.","Summer, Fall","Class #: Closed | Th
Thursday
6:00 PM–7:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Bipin Prabhakar | 0/0
Waitlist 0
Class #: Closed | Th
Thursday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Bipin Prabhakar | 0/0
Waitlist 0
Class #: Closed | Th
Thursday
9:00 PM–10:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Bipin Prabhakar | 0/0
Waitlist 0
Class #: Closed | Th
Thursday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Hillol Bala | 0/0
Waitlist 0
Class #: Closed | W
Wednesday
6:00 PM–7:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Brad Wheeler | 0/0
Waitlist 0
Class #: Closed | W
Wednesday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Brad Wheeler | 0/0
Waitlist 0
Class #: Closed | W
Wednesday
9:00 PM–10:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Brad Wheeler | 0/0
Waitlist 0"
BUKD-U 702,ORGANIZATIONAL BEHAVIOR AND DECISION MAKING,3 credits,Executive Degree Program Bloomington (39),"This  is an introduction to the basic concepts/topics in strategic leadership/decision making. Covers several topics that are related to managing/leading people in organizations, including: personality, decision making, motivation, leadership, team dynamics, negotiations, organizational culture. Examines how individuals in organizations function across different contexts/levels of analysis: individually, interpersonally in groups/organizations.",Fall,"Class #: Closed | W
Wednesday
6:00 PM–7:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Julie Kratz | 0/0
Waitlist 0"
BUKD-U 710,STRATEGIC MANAGEMENT AND LEADERSHIP,3 credits,Executive Degree Program Bloomington (39),"The primary focus of this course is the top-level executives who provide strategic leadership to business organizations. Students will learn about the roles, functions, and responsibilities of leadership, in order to learn administrative requirements of leadership. In addition, students will be introduced to the analytical skills and social and person characteristics of highly effective leaders. Case students, videotapes, and other media will be used to explore these and related issues.",Fall,"Class #: Closed | W
Wednesday
9:00 PM–10:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | James Davis | 0/0
Waitlist 0"
BUKD-W 524,STRATEGIC ENTREPRENEURSHIP,3 credits,Kelley Direct Program Bloomington (38),"Class builds on core strategy content and integrates it with other entrepreneurship, innovation, and management concepts to explore new venture creation, growth, and strategic decision-making under uncertainty. Focuses on strategic issues involved in creating a new venture, rapidly scaling a product or service, or acquiring, developing, and growing existing business.",Summer,"Class #: Open | M
Monday
6:00 PM–7:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Greg Fisher | 1/40
Waitlist 0
Class #: Open | M
Monday
9:00 PM–10:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Greg Fisher | 10/40
Waitlist 0
Class #: Closed | M
Monday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Greg Fisher | 0/40
Waitlist 0"
BUKD-W 568,THE SILICON VALLEY VENTURE CHALLENGE,3 credits,Kelley Direct Program Bloomington (38),"In order to immerse students into the startup world of Silicon Valley, this specially designed graduate course prepares students to ""pitch"" a business plan to experts in Silicon Valley. This course is designed for students to examine and understand the successful development of a new venture.",Fall,"Class #: Open | M
Monday
6:00 PM–7:15 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Donald Kuratko | 3/11
Waitlist 0"
BUKD-X 500,EXPERIMENTAL COURSE FOR MBA PROGRAM,1–6 credits,Class uses IU eTexts (436); Class uses IU eTexts (436); Kelley Direct Program Bloomington (38); Kelley Direct Program Bloomington (38),These courses will be offered to students as courses which are designed to deepen students' understanding on international business and multi-disciplinary problem solving.,Fall,"Class #: Closed | M
Monday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Jun Zhu | 0/45
Waitlist 11"
BUKD-X 500,REAL ESTATE INVESTMENT (EXPERIMENTAL COURSE FOR MBA PROGRAM),1–6 credits,Class uses IU eTexts (436); Class uses IU eTexts (436); Kelley Direct Program Bloomington (38); Kelley Direct Program Bloomington (38),These courses will be offered to students as courses which are designed to deepen students' understanding on international business and multi-disciplinary problem solving.,Fall,"Class #: Closed | M
Monday
7:30 PM–8:45 PM
Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Jun Zhu | 0/45
Waitlist 11"
BUKD-X 501,EXPERIMENTAL COURSE FOR MBA PROGRAM,1–6 credits,Kelley Direct Program Bloomington (38); Kelley Direct Program Bloomington (38),These courses will be offered to students as courses which are designed to deepen students' understanding on international business and multi-disciplinary problem solving.,"Spring, Summer, Fall","Class #: Closed | Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Will Geoghegan, Erik Gonzalez-Mule | 0/0
Waitlist 0"
BUKD-X 501,KELLEY ON LOCATION ELECTIVE (EXPERIMENTAL COURSE FOR MBA PROGRAM),1–6 credits,Kelley Direct Program Bloomington (38); Kelley Direct Program Bloomington (38),These courses will be offered to students as courses which are designed to deepen students' understanding on international business and multi-disciplinary problem solving.,"Spring, Summer, Fall","Class #: Closed | Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Will Geoghegan, Erik Gonzalez-Mule | 0/0
Waitlist 0"
BUKD-X 503,TOPICS IN DIRECTED BUSINESS INTERACTION,1.5 credits,Kelley Direct Program Bloomington (38),This course will enable Kelley Direct students to experience timely business topics in an immersive fashion.,"Spring, Fall","Class #: Closed | Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Raymond Luther, Brittany Lambert | 0/25
Waitlist 0
Class #: Closed | Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Raymond Luther, Brittany Lambert | 0/25
Waitlist 0
Class #: Closed | Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Raymond Luther, Brittany Lambert | 0/25
Waitlist 0
Class #: Closed | Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Raymond Luther, Brittany Lambert | 0/25
Waitlist 0
Class #: Closed | Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Raymond Luther, Brittany Lambert | 0/25
Waitlist 0
Class #: Closed | Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Raymond Luther, Brittany Lambert | 0/25
Waitlist 0
Class #: Closed | Non Standard Session
8/18/2025–11/6/2025 | WB WEB | Raymond Luther, Brittany Lambert | 0/25
Waitlist 0
Class #: Closed | Non Standard Session
8/18/2025–11/6/2025 | WB WEB | Raymond Luther, Brittany Lambert | 0/25
Waitlist 0"
BUKD-X 513,TOPICS IN BUSINESS ANALYSIS,1.5 credits,Kelley Direct Program Bloomington (38),This course is designed to provide Kelley Direct students with the ability to perform business analysis in a variety of business areas suitable for their careers and field of study.,"Summer, Fall","Class #: Open | Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Will Geoghegan, Erik Gonzalez-Mule | 1/30
Waitlist 0
Class #: Open | Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Will Geoghegan, Erik Gonzalez-Mule | 1/30
Waitlist 0
Class #: Open | Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Will Geoghegan, Erik Gonzalez-Mule | 2/30
Waitlist 0
Class #: Open | Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Will Geoghegan, Erik Gonzalez-Mule | 1/30
Waitlist 0
Class #: Open | Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Will Geoghegan, Erik Gonzalez-Mule | 2/30
Waitlist 0
Class #: Open | Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Will Geoghegan, Erik Gonzalez-Mule | 2/30
Waitlist 0
Class #: Open | Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Will Geoghegan, Erik Gonzalez-Mule | 1/30
Waitlist 0
Class #: Open | Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Will Geoghegan, Erik Gonzalez-Mule | 5/30
Waitlist 0
Class #: Closed | Regular Academic Session
8/18/2025–11/6/2025 | WB WEB | Will Geoghegan, Erik Gonzalez-Mule | 0/30
Waitlist 0"
